Player,Team,Position,Height,Weight,PPG,RPG,APG,SPG,BPG,Headshot_URL
Jacob Toppin,Atlanta Hawks,F,6-8,200,0.4,0.7,0.2,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631210.png
Jalen Johnson,Atlanta Hawks,F,6-8,219,18.9,10.0,5.0,1.6,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png
Keaton Wallace,Atlanta Hawks,G,6-3,185,5.4,1.6,2.6,0.9,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630811.png
Caris LeVert,Atlanta Hawks,G,6-6,205,10.2,2.8,3.7,0.9,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1627747.png
Kobe Bufkin,Atlanta Hawks,G,6-4,195,5.3,2.1,1.7,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641723.png
Dyson Daniels,Atlanta Hawks,G,6-7,199,14.1,5.9,4.4,3.0,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630700.png
Zaccharie Risacher,Atlanta Hawks,F,6-8,200,12.6,3.6,1.2,0.7,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1642258.png
Trae Young,Atlanta Hawks,G,6-1,164,24.2,3.1,11.6,1.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png
Terance Mann,Atlanta Hawks,G-F,6-5,215,6.0,2.9,1.6,0.8,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629611.png
Clint Capela,Atlanta Hawks,C,6-10,256,8.9,8.5,1.1,0.6,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203991.png
Onyeka Okongwu,Atlanta Hawks,F-C,6-10,240,13.4,8.9,2.3,0.9,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1630168.png
Mouhamed Gueye,Atlanta Hawks,F,6-10,210,6.0,4.2,0.8,0.8,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631243.png
