Player,Team,Position,Height,Weight,Age,School,PPG,RPG,APG,SPG,BPG,Headshot_URL
Jacob Toppin,Atlanta Hawks,F,6-8,200,25.0,Kentucky,0.4,0.7,0.2,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631210.png
Jalen Johnson,Atlanta Hawks,F,6-8,219,23.0,Duke,18.9,10.0,5.0,1.6,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png
Keaton Wallace,Atlanta Hawks,G,6-3,185,26.0,Texas-San Antonio,5.4,1.6,2.6,0.9,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630811.png
Caris LeVert,Atlanta Hawks,G,6-6,205,30.0,Michigan,10.2,2.8,3.7,0.9,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1627747.png
Kobe Bufkin,Atlanta Hawks,G,6-4,195,21.0,Michigan,5.3,2.1,1.7,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641723.png
Dyson Daniels,Atlanta Hawks,G,6-7,199,22.0,NBA G League Ignite,14.1,5.9,4.4,3.0,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630700.png
Zaccharie Risacher,Atlanta Hawks,F,6-8,200,20.0,JL Bourg-en-Bresse,12.6,3.6,1.2,0.7,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1642258.png
Trae Young,Atlanta Hawks,G,6-1,164,26.0,Oklahoma,24.2,3.1,11.6,1.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png
Terance Mann,Atlanta Hawks,G-F,6-5,215,28.0,Florida State,6.0,2.9,1.6,0.8,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629611.png
Clint Capela,Atlanta Hawks,C,6-10,256,31.0,Elan Chalon,8.9,8.5,1.1,0.6,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203991.png
Onyeka Okongwu,Atlanta Hawks,F-C,6-10,240,24.0,Southern California,13.4,8.9,2.3,0.9,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1630168.png
Mouhamed Gueye,Atlanta Hawks,F,6-10,210,22.0,Washington State,6.0,4.2,0.8,0.8,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631243.png
Georges Niang,Atlanta Hawks,F,6-7,230,32.0,Iowa State,8.7,3.7,1.3,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1627777.png
Larry Nance Jr.,Atlanta Hawks,F-C,6-8,245,32.0,Wyoming,8.5,4.3,1.6,0.8,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1626204.png
Garrison Mathews,Atlanta Hawks,G,6-6,215,28.0,Lipscomb,7.5,1.9,1.3,0.6,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629726.png
Dominick Barlow,Atlanta Hawks,F,6-8,215,22.0,Overtime Elite,4.2,2.4,0.5,0.3,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1631230.png
Vít Krejčí,Atlanta Hawks,G,6-8,195,25.0,Zaragoza,7.2,2.7,2.6,0.6,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630249.png
Daeqwon Plowden,Atlanta Hawks,G-F,6-6,216,26.0,Bowling Green,7.2,1.8,0.3,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631342.png
Jayson Tatum,Boston Celtics,F-G,6-8,210,27.0,Duke,26.8,8.7,6.0,1.1,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png
Miles Norris,Boston Celtics,F,6-7,220,25.0,Cal-Santa Barbara,2.3,3.0,0.0,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641936.png
Jrue Holiday,Boston Celtics,G,6-4,205,35.0,UCLA,11.1,4.3,3.9,1.1,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/201950.png
Jaylen Brown,Boston Celtics,G-F,6-6,223,28.0,California,22.2,5.8,4.5,1.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png
Kristaps Porziņģis,Boston Celtics,F-C,7-2,240,29.0,Cajasol Sevilla,19.5,6.8,2.1,0.7,1.5,https://cdn.nba.com/headshots/nba/latest/1040x760/204001.png
Derrick White,Boston Celtics,G,6-4,190,30.0,Colorado,16.4,4.5,4.8,0.9,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png
Payton Pritchard,Boston Celtics,G,6-1,195,27.0,Oregon,14.3,3.8,3.5,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630202.png
Torrey Craig,Boston Celtics,F,6-5,221,34.0,South Carolina Upstate,6.9,2.8,0.6,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628470.png
Drew Peterson,Boston Celtics,F,6-9,205,25.0,Southern California,2.2,1.6,0.5,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641809.png
JD Davison,Boston Celtics,G,6-1,195,22.0,Alabama,2.1,0.8,0.8,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631120.png
Xavier Tillman,Boston Celtics,F,6-7,245,26.0,Michigan State,1.0,1.3,0.2,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630214.png
Jordan Walsh,Boston Celtics,G,6-6,205,21.0,Arkansas,1.6,1.3,0.4,0.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641775.png
Sam Hauser,Boston Celtics,F,6-7,217,27.0,Virginia,8.5,3.2,0.9,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630573.png
Luke Kornet,Boston Celtics,C-F,7-1,250,29.0,Vanderbilt,6.0,5.3,1.6,0.5,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628436.png
Al Horford,Boston Celtics,C-F,6-9,240,39.0,Florida,9.0,6.2,2.1,0.6,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png
Baylor Scheierman,Boston Celtics,G,6-6,205,24.0,Creighton,3.6,2.1,1.1,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631248.png
Neemias Queta,Boston Celtics,C,7-0,248,25.0,Utah State,5.0,3.8,0.7,0.3,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1629674.png
Max Strus,Cleveland Cavaliers,G-F,6-5,215,29.0,DePaul,9.4,4.3,3.2,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629622.png
Ty Jerome,Cleveland Cavaliers,G-F,6-5,195,27.0,Virginia,12.5,2.5,3.4,1.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629660.png
Evan Mobley,Cleveland Cavaliers,C,6-11,215,24.0,Southern California,18.5,9.3,3.2,0.9,1.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630596.png
Sam Merrill,Cleveland Cavaliers,G,6-4,205,29.0,Utah State,7.2,2.2,1.5,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630241.png
Javonte Green,Cleveland Cavaliers,G,6-5,205,31.0,Radford,5.8,3.6,0.9,1.1,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1629750.png
Craig Porter Jr.,Cleveland Cavaliers,G,6-1,180,25.0,Wichita State,3.7,1.3,1.4,0.3,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641854.png
Darius Garland,Cleveland Cavaliers,G,6-1,192,25.0,Vanderbilt,20.6,2.9,6.7,1.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png
De'Andre Hunter,Cleveland Cavaliers,F-G,6-8,221,27.0,Virginia,19.0,3.9,1.5,0.8,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png
Tristan Thompson,Cleveland Cavaliers,C-F,6-9,254,34.0,Texas-Austin,1.7,3.4,0.6,0.0,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/202684.png
Chuma Okeke,Cleveland Cavaliers,F,6-7,229,26.0,Auburn,6.9,6.1,1.9,0.7,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629643.png
Emoni Bates,Cleveland Cavaliers,F,6-8,202,21.0,Eastern Michigan,3.7,0.7,0.8,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641734.png
Jaylon Tyson,Cleveland Cavaliers,G-F,6-6,215,22.0,California,3.6,2.0,0.9,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642281.png
Nae'Qwan Tomlin,Cleveland Cavaliers,F,6-10,210,24.0,Memphis,7.2,4.2,0.4,0.0,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641772.png
Jarrett Allen,Cleveland Cavaliers,C,6-9,243,27.0,Texas,13.5,9.7,1.9,0.9,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1628386.png
Dean Wade,Cleveland Cavaliers,F-C,6-9,228,28.0,Kansas State,5.4,4.2,1.3,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629731.png
Luke Travers,Cleveland Cavaliers,F,6-7,207,23.0,Rockingham Flames (Aus.),1.0,1.7,0.7,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631247.png
Isaac Okoro,Cleveland Cavaliers,F-G,6-5,225,24.0,Auburn,6.1,2.4,1.2,0.6,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630171.png
Donovan Mitchell,Cleveland Cavaliers,G,6-3,215,28.0,Louisville,24.0,4.5,5.0,1.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png
Keion Brooks Jr.,New Orleans Pelicans,F,6-7,210,24.0,Washington,10.1,4.1,0.9,0.7,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1631232.png
